track_id,knee_asym,hip_tilt,frame_filename
1,2.750668567766531,0.9570174953469782,000001.jpg
286,2.124776259245165,0.6911517641839425,000286.jpg
336,2.03242795451398,0.0736601377494933,000336.jpg
336,4.150876891782151,0.2543185671345646,000336.jpg
336,4.261418377154739,0.903521242579432,000336.jpg
336,4.095029995972098,0.7077298738190083,000336.jpg
384,2.084548934365672,0.1436026538738051,000384.jpg
455,4.079231978599612,0.5149748252563924,000455.jpg
538,2.4431433501748323,0.6907547401404164,000538.jpg
664,11.889695122843994,0.9982419386837884,000664.jpg
845,4.587844227111274,0.2106068440529761,000845.jpg
982,3.799803656350423,0.3561454810238927,000982.jpg
